央视频道,#genre#
QQ群:664117428 ,http://112.50.243.8/PLTV/88888888/224/3221225829/1.m3u8
CCTV-1 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225829/1.m3u8
CCTV-1 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV-2 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-2 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-4 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV4K  UHD[768*576],http://112.50.243.8/PLTV/88888888/224/3221225846/1.m3u8
CCTV4K  UHD[768*576],http://39.134.65.162/PLTV/88888888/224/3221225577/index.m3u8
CCTV-5 HD[1920*1080],http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8
CCTV-5+HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225821/1.m3u8
CCTV-5+HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225939/1.m3u8
CCTV-5+HD[1920*1080],http://183.251.61.214:80/PLTV/88888888/224/3221225821/index.m3u8
CCTV-7 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225805/1.m3u8
CCTV-7 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8
CCTV-8 HD[1920*1080],http://223.110.243.171/PLTV/3/224/3221227204/index.m3u8
CCTV-9 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV-9 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV-10 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225814/1.m3u8
CCTV-10 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225931/1.m3u8
CCTV-11 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV-12 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8
CCTV-13 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV-14 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225819/1.m3u8
CCTV-14 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225933/1.m3u8
CCTV-15 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV-17 HD[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221226986/1.m3u8
CCTV-1综合,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV-2财经,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
